Report number:,Z489301,,,,,
10859,24,40,225.5,45.1,159.1128,66.3872
10859,54,35,1568.875,313.775,1106.9982,461.8768
10859,64,30,1312.5,262.5,926.1,386.4
10860,51,3,325.41,0,287.0116,38.3984
10860,76,20,7288.8,0,6428.7216,860.0784
10861,17,42,1066.38,0,940.5472,125.8328
10861,18,20,476.6,0,420.3612,56.2388
10861,21,40,367.6,0,324.2232,43.3768
10861,33,35,920.85,0,812.1897,108.6603
10861,62,3,88.05,0,77.6601,10.3899
10862,11,25,683.5,0,602.847,80.653
10862,52,8,683.52,0,628.3724,55.1476
10863,1,20,476.1,62.1,365.148,110.952
10863,58,12,617.274,80.514,498.1247,119.1493
10864,35,4,25.28,0,22.297,2.983
10864,67,15,972.15,0,857.4363,114.7137
10865,38,60,5111.82,243.42,4293.9288,817.8912
10865,39,80,5286.96,251.76,4441.0464,845.9136
10866,2,21,463.3125,92.6625,326.9133,136.3992
10866,24,6,35.175,7.035,24.8195,10.3555
10866,30,40,1204.5,240.9,849.8952,354.6048
10867,53,3,197.97,0,174.6095,23.3605
10868,26,20,666.4,0,587.7648,78.6352
10868,35,30,187.2,0,165.1104,22.0896
10868,49,42,899.514,81.774,762.6708,136.8432
10869,1,40,860,0,758.52,101.48
10869,11,10,299.5,0,264.159,35.341
10869,23,50,419,0,369.558,49.442
10869,68,20,273.6,0,241.3152,32.2848
10870,35,3,19.26,0,16.9873,2.2727
10870,51,2,215.24,0,189.8417,25.3983
10871,6,50,197.4,9.4,165.816,31.584
10871,16,12,121.338,5.778,101.9239,19.4141
10871,17,16,404.208,19.248,339.5347,64.6733
10872,55,10,441.315,21.015,370.7046,70.6104
10872,62,20,649.53,30.93,545.6052,103.9248
10872,64,15,512.9775,24.4275,430.9011,82.0764
10872,65,21,229.761,10.941,192.9992,36.7618
10873,21,20,205.4,0,181.1628,24.2372
10873,28,3,134.64,0,118.7525,15.8875
10874,10,10,66,0,58.212,7.788
10875,19,25,213.75,0,188.5275,25.2225
10875,47,21,564.102,51.282,452.3072,111.7948
10875,49,15,324.3,0,286.0326,38.2674
10876,46,21,256.83,0,226.5241,30.3059
10876,64,20,717.2,0,639.623,77.577
10877,16,30,375.375,75.075,264.8646,110.5104
10877,18,25,644.5,0,568.449,76.051
10878,20,20,1718.22,81.82,1443.3048,274.9152
10879,40,12,210.36,0,185.5375,24.8225
10879,65,10,109,0,96.138,12.862
10879,76,10,4305.3,0,3797.2746,508.0254
10880,23,30,299.16,49.86,219.8826,79.2774
10880,61,30,973.08,162.18,715.2138,257.8662
10880,70,50,1750.2,291.7,1286.397,463.803
10881,73,10,11.9,0,10.4958,1.4042
10882,42,25,315.75,0,278.4915,37.2585
10882,49,20,458.85,59.85,351.918,106.932
10882,54,32,1303.456,170.016,999.6941,303.7619
10883,24,8,34.8,0,30.6936,4.1064
10884,21,40,415.8,19.8,349.272,66.528
10884,56,21,908.019,43.239,762.736,145.283
10884,65,12,115.038,5.478,96.6319,18.4061
10885,2,20,389,0,343.098,45.902
10885,24,12,54.72,0,48.263,6.457
10885,70,30,883.2,0,778.9824,104.2176
10885,77,25,342.25,0,301.8645,40.3855
10886,10,70,471.8,0,416.1276,55.6724
10886,31,35,317.45,0,284.4417,33.0083
10886,77,40,543.2,0,479.1024,64.0976
10887,25,5,65.6,0,57.8592,7.7408
10888,2,20,409.2,0,360.9144,48.2856
10888,68,18,208.08,0,183.5266,24.5534
10889,11,40,1041.6,0,918.6912,122.9088
10889,38,40,3511.6,0,3097.2312,414.3688
10890,17,15,347.55,0,306.5391,41.0109
10890,34,10,80.3,0,74.3952,5.9048
10890,41,14,127.68,0,112.6138,15.0662
10891,30,15,428.2425,20.3925,359.7237,68.5188
10892,59,40,350.28,16.68,294.2352,56.0448
10893,8,30,603.3,0,532.1106,71.1894
10893,24,10,47,0,41.454,5.546
10893,29,24,3030.72,0,2673.095,357.625
10893,30,35,959,0,845.838,113.162
10893,36,20,147.8,0,130.3596,17.4404
10894,13,28,682.962,32.522,606.9097,76.0523
10894,69,50,113.4,5.4,95.256,18.144
10894,75,120,1064.7,50.7,894.348,170.352
10895,24,110,504.9,0,445.3218,59.5782
10895,39,45,2893.5,0,2552.067,341.433
10895,40,91,1752.66,0,1545.8461,206.8139
10895,60,100,502,0,442.764,59.236
10896,45,15,140.85,0,124.2297,16.6203
10896,56,16,578.72,0,510.431,68.289
10897,29,80,10652,0,9395.064,1256.936
10897,30,36,945.72,0,834.125,111.595
10898,13,5,116.45,0,102.7089,13.7411
10899,39,8,591.284,77.124,453.4891,137.7949
10900,70,3,115.35,23.07,81.391,33.959
10901,41,30,267.6,0,236.0232,31.5768
10901,71,30,920.1,0,811.5282,108.5718
10902,55,30,1464.18,190.98,1122.9624,341.2176
10902,62,6,193.2,25.2,148.176,45.024
10903,13,40,1029.6,0,908.1072,121.4928
10903,65,21,223.02,0,196.7036,26.3164
10903,68,20,255.4,0,225.2628,30.1372
10904,58,15,670.35,0,591.2487,79.1013
10904,62,35,934.5,0,824.229,110.271
10905,1,20,411.6,19.6,345.744,65.856
10906,61,15,363.3,0,320.4306,42.8694
10907,75,14,107.52,0,94.8326,12.6874
10908,7,20,847.98,40.38,712.3032,135.6768
10908,52,14,1150.569,54.789,966.478,184.091
10909,7,12,485.64,0,428.3345,57.3055
10909,16,15,148.2,0,130.7124,17.4876
10909,41,5,50.45,0,44.4969,5.9531
10910,19,12,100.92,0,89.0114,11.9086
10910,49,10,202.7,0,178.7814,23.9186
10910,61,5,139.15,0,126.2627,12.8873
10911,1,10,219.3,0,197.0154,22.2846
10911,17,12,298.32,0,263.1182,35.2018
10911,67,15,935.85,0,845.6499,90.2001
10912,11,40,1275,255,899.64,375.36
10912,29,60,9170.25,1834.05,6470.5284,2699.7216
10913,4,30,887.25,177.45,626.0436,261.2064
10913,33,40,1163.5,232.7,820.9656,342.5344
10913,58,15,774.45,0,683.0649,91.3851
10914,71,25,750.75,0,662.1615,88.5885
10915,17,10,274.5,0,242.109,32.391
10915,33,30,788.1,0,695.1042,92.9958
10915,54,10,370.8,0,327.0456,43.7544
10916,16,6,60.66,0,53.5021,7.1579
10916,32,6,123.54,0,108.9623,14.5777
10916,57,20,381.6,0,336.5712,45.0288
10917,30,1,26.2,0,23.1084,3.0916
10917,60,10,46.9,0,41.3658,5.5342
10918,1,60,1458.75,291.75,1029.294,429.456
10918,60,25,156.5625,31.3125,110.4705,46.092
10919,16,24,242.16,0,213.5851,28.5749
10919,25,24,305.52,0,296.6227,8.8973
10919,40,20,400,0,352.8,47.2
10920,50,24,356.88,0,314.7682,42.1118
10921,35,10,55.9,0,49.3038,6.5962
10921,63,40,854.4,0,753.5808,100.8192
10922,17,15,345.3,0,304.5546,40.7454
10922,24,35,166.25,0,146.6325,19.6175
10923,42,10,158.4,26.4,116.424,41.976
10923,43,10,154.08,25.68,113.2488,40.8312
10923,67,24,1842.336,307.056,1354.117,488.219
10924,10,20,151.58,13.78,121.5396,30.0404
10924,28,30,1544.4,140.4,1238.328,306.072
10924,75,6,44.64,0,39.3725,5.2675
10925,36,25,228.85,29.85,175.518,53.332
10925,52,12,1171.758,152.838,909.0117,262.7463
10926,11,2,54.98,0,48.4924,6.4876
10926,13,10,235,0,207.27,27.73
10926,19,7,60.48,0,53.3434,7.1366
10926,72,10,121,0,106.722,14.278
10927,20,5,410.7,0,362.2374,48.4626
10927,52,5,371.65,0,327.7953,43.8547
10927,76,20,7285,0,6425.37,859.63
10928,47,5,127.5,0,112.455,15.045
10928,76,5,1818.2,0,1613.7557,204.4443
10929,21,60,556.2,0,490.5684,65.6316
10929,75,49,373.87,0,329.7533,44.1167
10929,77,15,198.15,0,174.7683,23.3817
10930,21,36,386.28,0,371.1492,15.1308
10930,27,25,1039.5,0,1012.7721,26.7279
10930,55,25,1192.8,198.8,876.708,316.092
10930,58,30,1722.6,287.1,1266.111,456.489
10931,13,42,1305.549,170.289,1001.2993,304.2497
10931,57,30,577.5,0,543.7908,33.7092
10932,16,30,313.17,28.47,263.6542,49.5158
10932,62,14,416.416,37.856,337.4879,78.9281
10932,72,16,182.88,0,161.3002,21.5798
10932,75,20,172.04,15.64,137.9448,34.0952
10933,53,2,110.38,0,97.3552,13.0248
10933,61,30,764.7,0,674.4654,90.2346
10934,6,20,74,0,65.268,8.732
10935,1,21,444.15,0,391.7403,52.4097
10935,18,4,123.45,24.69,87.1063,36.3437
10935,23,8,91.2,18.24,64.3507,26.8493
10936,36,30,313.92,52.32,230.7312,83.1888
10937,28,8,397.28,0,350.401,46.879
10937,34,20,154.2,0,136.0044,18.1956
10938,13,20,565.75,113.15,399.1932,166.5568
10938,43,24,380.1,76.02,282.411,97.689
10938,60,49,322.175,64.435,227.3267,94.8483
10938,71,35,1411.8125,282.3625,996.1749,415.6376
10939,2,10,206.54,26.94,175.7502,30.7898
10939,67,40,2723.66,355.26,2088.9288,634.7312
10940,7,8,308.56,0,272.1499,36.4101
10940,13,20,465.6,0,410.6592,54.9408
10941,31,44,441.1,88.22,311.2402,129.8598
10941,62,30,1023,204.6,721.8288,301.1712
10941,68,80,1282,256.4,1004.4745,277.5255
10941,72,50,626.5,0,552.573,73.927
10942,49,28,551.88,0,486.7582,65.1218
10943,13,15,364.2,0,321.2244,42.9756
10943,22,21,73.29,0,64.6418,8.6482
10943,46,15,185.85,0,163.9197,21.9303
10944,11,5,161.875,32.375,114.219,47.656
10944,44,18,1636.425,327.285,1154.6615,481.7635
10944,56,18,727.2,0,641.3904,85.8096
10945,13,20,543.4,0,479.2788,64.1212
10945,31,10,79,0,69.678,9.322
10946,10,25,167.5,0,147.735,19.765
10946,24,25,115.75,0,102.0915,13.6585
10946,77,40,547.6,0,482.9832,64.6168
10947,59,4,33.12,0,29.2118,3.9082
10948,50,9,144.45,0,127.4049,17.0451
10948,51,40,4030.4,0,3554.8128,475.5872
10948,55,4,154.92,0,136.6394,18.2806
10949,6,12,48.6,0,42.8652,5.7348
10949,10,30,194.4,0,171.4608,22.9392
10949,17,6,164.16,0,144.7891,19.3709
10949,62,60,1655.4,0,1460.0628,195.3372
10950,4,5,114.3,0,100.8126,13.4874
10951,33,15,373.59,17.79,313.8156,59.7744
10951,41,6,60.102,2.862,50.4857,9.6163
10951,75,50,379.575,18.075,318.843,60.732
10952,6,16,65.016,3.096,60.1835,4.8325
10952,28,2,89.1,0,78.5862,10.5138
10953,20,50,4404.75,209.75,3699.99,704.76
10953,31,50,414.225,19.725,347.949,66.276
10954,16,28,314.916,41.076,241.5269,73.3891
10954,31,25,242.075,31.575,185.661,56.414
10954,45,30,262.8,0,231.7896,31.0104
10954,60,24,151.248,19.728,116.0006,35.2474
10955,75,12,113.184,18.864,83.1902,29.9938
10956,21,12,120.12,0,105.9458,14.1742
10956,47,14,322.56,0,284.4979,38.0621
10956,51,8,785.44,0,692.7581,92.6819
10957,30,30,838.2,0,739.2924,98.9076
10957,35,40,237.6,0,209.5632,28.0368
10957,64,8,279.12,0,246.1838,32.9362
10958,5,20,123.4,0,108.8388,14.5612
10958,7,6,229.02,0,201.9956,27.0244
10958,72,5,58.25,0,51.3765,6.8735
10959,75,20,166.52,21.72,127.7136,38.8064
10960,24,10,58,11.6,40.9248,17.0752
10960,41,24,229.92,0,202.7894,27.1306
10961,52,6,467.271,22.251,392.5076,74.7634
10961,76,60,23334.6,0,20581.1172,2753.4828
10962,7,45,1769.85,0,1561.0077,208.8423
10962,13,77,1826.44,0,1610.9201,215.5199
10962,53,20,1155.4,0,1019.0628,136.3372
10962,69,9,17.46,0,15.421,2.039
10962,76,44,16628.48,0,16153.1819,475.2981
10963,60,2,10.994,1.434,8.4319,2.5621
10964,18,6,152.4,0,134.4168,17.9832
10964,38,5,436.4,0,384.9048,51.4952
10964,69,10,20.4,0,17.9928,2.4072
10965,51,16,1553.12,0,1369.8518,183.2682
10966,37,8,33.36,0,32.4593,0.9007
10966,56,12,539.856,70.416,414.0461,125.8099
10966,62,12,395.232,51.552,303.1258,92.1062
10967,19,12,111.72,0,98.537,13.183
10967,49,40,746.8,0,658.6776,88.1224
10968,12,30,288.9,0,278.7328,10.1672
10968,24,30,128.1,0,112.9842,15.1158
10968,64,4,121.36,0,107.0395,14.3205
10969,46,9,117.63,0,103.7497,13.8803
10970,52,40,3659.04,609.84,2689.3944,969.6456
10971,29,14,1892.24,0,1668.9557,223.2843
10972,17,6,151.56,0,133.6759,17.8841
10972,33,7,177.31,0,164.3035,13.0065
10973,26,5,154.2,0,136.0044,18.1956
10973,41,6,52.26,0,46.0933,6.1667
10973,75,10,82.1,0,79.6895,2.4105
10974,63,10,207.4,0,182.9268,24.4732
10975,8,16,316.48,0,279.1354,37.3446
10975,75,10,83.8,0,73.9116,9.8884
10976,28,20,846.8,0,746.8776,99.9224
10977,39,30,1816.2,0,1601.8884,214.3116
10977,47,30,809.7,0,714.1554,95.5446
10977,51,10,1047.5,0,923.895,123.605
10977,63,20,433.6,0,382.4352,51.1648
10978,8,20,458.16,59.76,351.3888,106.7712
10978,21,40,460.92,60.12,353.5056,107.4144
10978,40,10,182.9,0,161.3178,21.5822
10978,44,6,496.593,64.773,380.8652,115.7278
10979,7,18,750.24,0,661.7117,88.5283
10979,12,20,209,0,184.338,24.662
10979,24,80,329.6,0,290.7072,38.8928
10979,27,30,1213.5,0,1070.307,143.193
10979,31,24,207.6,0,183.1827,24.4173
10979,63,35,697.2,0,614.9304,82.2696
10980,75,40,384.48,64.08,282.5928,101.8872
10981,38,60,4796.4,0,4230.4248,565.9752
10982,7,20,746.4,0,698.4566,47.9434
10982,43,9,102.33,0,90.2551,12.0749
10983,13,84,2186.058,285.138,1676.6114,509.4466
10983,57,15,293.4,0,258.7788,34.6212
10984,16,55,552.75,0,487.5255,65.2245
10984,24,20,92.8,0,81.8496,10.9504
10984,36,40,350,0,315.8472,34.1528
10985,16,36,371.448,33.768,297.8338,73.6142
10985,18,8,245.256,22.296,196.6507,48.6053
10985,32,35,790.405,71.855,633.7611,156.6439
10986,11,30,855.6,0,754.6392,100.9608
10986,20,15,1211.7,0,1068.7194,142.9806
10986,76,10,3689.3,0,3253.9626,435.3374
10986,77,15,197.1,0,173.8422,23.2578
10987,7,60,2467.2,0,2176.0704,291.1296
10987,43,6,78.42,0,69.1664,9.2536
10987,72,20,249.4,0,219.9708,29.4292
10988,7,60,2395.8,0,2113.0956,282.7044
10988,62,40,1307.68,118.88,1048.5216,259.1584
10989,6,40,159.6,0,140.7672,18.8328
10989,11,15,385.65,0,340.1433,45.5067
10989,41,4,37.36,0,32.9515,4.4085
10990,21,65,675.35,0,595.6587,79.6913
10990,34,60,516.81,67.41,396.3708,120.4392
10990,55,65,2942.9075,383.8575,2257.0821,685.8254
10990,61,66,2132.031,278.091,1635.1751,496.8559
10991,2,50,1084.8,180.8,797.328,287.472
10991,70,20,716.16,119.36,526.3776,189.7824
10991,76,90,43755.1201,7292.5201,32160.0132,11595.1069
10992,72,2,25.6,0,22.5792,3.0208
10993,29,50,7867.5,1573.5,5551.308,2316.192
10993,41,35,442.75,88.55,312.4044,130.3456
10994,59,18,155.169,7.389,130.342,24.827
10995,51,20,1995.8,0,1769.0579,226.7421
10995,60,4,20.84,0,18.3809,2.4591
10996,42,40,568.4,0,501.3288,67.0712
10997,32,50,1016.5,0,896.553,119.947
10997,46,20,315.5,63.1,222.6168,92.8832
10997,52,20,1884.25,376.85,1329.5268,554.7232
10998,24,12,49.56,0,43.7119,5.8481
10998,61,7,203.77,0,179.7251,24.0449
10998,74,20,633.2,0,558.4824,74.7176
10998,75,30,230.7,0,203.4774,27.2226
10999,41,20,199.5,9.5,167.58,31.92
10999,51,15,1550.9025,73.8525,1302.7581,248.1444
10999,77,21,265.482,12.642,223.0049,42.4771
11000,4,25,637.1875,127.4375,449.5995,187.588
11000,24,30,162.75,32.55,114.8364,47.9136
11000,77,30,372.6,0,328.6332,43.9668
11001,7,60,2568.6,0,2265.5052,303.0948
11001,22,25,95.5,0,84.231,11.269
11001,46,25,328.5,0,289.737,38.763
11001,55,6,217.5,0,191.835,25.665
11002,13,56,1419.04,0,1251.5933,167.4467
11002,35,15,100.05,13.05,76.734,23.316
11002,42,24,354.936,46.296,274.4617,80.4743
11002,55,40,1689.2,0,1581.1526,108.0474
11003,1,4,76,0,67.032,8.968
11003,40,10,167.8,0,147.9996,19.8004
11003,52,10,801,0,706.482,94.518
11004,26,6,178.08,0,157.0666,21.0134
11004,76,6,2377.44,0,2096.9021,280.5379
11005,1,2,38,0,33.516,4.484
11005,59,10,88.5,0,78.057,10.443
11006,1,8,175.52,0,154.8086,20.7114
11006,29,2,327.875,65.575,231.3486,96.5264
11007,8,30,616.5,0,543.753,72.747
11007,29,10,1344.1,0,1185.4962,158.6038
11007,42,14,207.06,0,196.4352,10.6248
11008,28,70,3123.015,148.715,2623.3326,499.6824
11008,34,90,771.12,36.72,647.7408,123.3792
11008,71,21,617.4,0,544.5468,72.8532
11009,24,12,50.16,0,44.2411,5.9189
11009,36,18,188.55,37.71,133.0409,55.5091
11009,60,9,46.8,0,41.2776,5.5224
11010,7,20,878.8,0,775.1016,103.6984
11010,24,10,44.7,0,39.4254,5.2746
11011,58,40,1931.16,91.96,1622.1744,308.9856
11011,71,20,634.4,0,559.5408,74.8592
11012,19,50,473.025,22.525,432.3821,40.6429
11012,60,36,172.746,8.226,145.1066,27.6394
11012,71,60,1915.2,91.2,1715.513,199.687
11013,23,10,91.4,0,80.6148,10.7852
11013,42,4,59.16,0,54.1268,5.0332
11013,45,20,179.4,0,158.2308,21.1692
11013,68,2,25.02,0,22.0676,2.9524
11014,41,28,313.544,28.504,251.4053,62.1387
11015,30,15,425.4,0,375.2028,50.1972
11015,77,18,212.4,0,187.3368,25.0632
11016,31,15,122.85,0,108.3537,14.4963
